"","placement","civ","player","score"
"81",1,"CHINA","Unknown Player",114
"82",2,"RUSSIA","bumbarcic",91
"83",3,"ARABIA","Bot",24
"84",4,"FRANCE","zblexx",17
"85",1,"RUSSIA","roteisen",102
"86",2,"EGYPT","canardov",70
"87",3,"PERSIA","Bot",47
"88",4,"CHINA","Bot",42
"89",5,"GREECE","Bot",33
"90",1,"GREECE","generalsnafferz",102
"91",2,"PERSIA","Bot",72
"92",3,"ROME","trow",61
"93",4,"CHINA","Bot",59
"94",1,"GREECE","inkvisiitorriistan",102
"95",2,"ROME","Unknown Player",77
"96",3,"FRANCE","puszekse",30
"97",1,"ENGLAND","_chiiho",101
"98",2,"RUSSIA","hikari1073",77
"99",3,"EGYPT","Bot",46
"100",4,"CHINA","Bot",38
"101",5,"FRANCE","Bot",31
"102",1,"GREECE","Unknown Player",104
"103",2,"PERSIA","Bot",46
"104",3,"ENGLAND","Unknown Player",29
"105",4,"FRANCE","dogmoney",23
"106",5,"ROME",".rous",1
"107",1,"ROME","jeremy103067",103
"108",2,"FRANCE","Bot",54
"109",3,"ENGLAND","albertmicky",47
"110",4,"PERSIA","Bot",18
"111",1,"PERSIA","p3ngie",108
"112",2,"ENGLAND","crashcourse316",88
"113",3,"EGYPT","Bot",36
"114",4,"ROME","aurora.rae",26
"115",5,"GREECE","Bot",10
"116",1,"RUSSIA","p3ngie",123
"117",2,"PERSIA","aurora.rae",41
"118",3,"CHINA","Bot",41
"119",4,"EGYPT","Bot",33
"120",5,"ROME","Unknown Player",10
"121",1,"CHINA","puszekse",114
"122",2,"FRANCE","glorious_axolotl_84151",51
"123",3,"EGYPT","Bot",44
"124",4,"AZTECS","Bot",31
"125",5,"GREECE","Bot",1
"126",1,"CHINA","glorious_axolotl_84151",91
"127",2,"EGYPT","chefthomas22",84
"128",3,"GREECE","spoonx2",82
"129",4,"AZTECS","Bot",50
"130",5,"FRANCE","bumbarcic",2
"131",1,"EGYPT","p8orion",112
"132",2,"ARABIA","Bot",82
"133",3,"AZTECS",".katiag",75
"134",4,"FRANCE","Bot",50
"135",5,"GREECE","Bot",2
"136",1,"FRANCE","Bot",103
"137",2,"EGYPT","Bot",56
"138",3,"ROME",".katiag",32
"139",4,"ENGLAND","p8orion",19
"140",1,"FRANCE","maitremoqueur",100
"141",2,"AZTECS","anashak",87
"142",3,"ROME","ogmanantoine",60
"143",4,"PERSIA","snoopydogogod",47
"144",5,"GREECE","matth_1",28
"145",1,"RUSSIA","glorious_axolotl_84151",102
"146",2,"CHINA","bumbarcic",60
"147",3,"ARABIA","Bot",24
"148",1,"AZTECS","Bot",98
"149",2,"CHINA","Bot",87
"150",3,"ARABIA","p8orion",32
"151",4,"ROME",".katiag",5
"152",1,"AZTECS",".denarr",104
"153",2,"CHINA","roctev",63
"154",3,"EGYPT","Bot",56
"155",4,"RUSSIA","Bot",49
"156",5,"ROME","Bot",3
"157",6,"GREECE","Bot",0
"158",1,"RUSSIA","michael8539",103
"159",2,"ENGLAND","Unknown Player",54
"160",3,"EGYPT","Bot",2
"161",4,"PERSIA","imspoon3",0
"162",1,"CHINA","perdat",134
"163",2,"AZTECS","Bot",128
"164",3,"ROME","Bot",112
"165",4,"RUSSIA","kislinkiy",92
"166",5,"ARABIA","Bot",61
"167",6,"GREECE","Bot",57
"168",7,"FRANCE","Bot",30
"169",8,"ENGLAND","Bot",7
"170",9,"EGYPT","Bot",3
"171",1,"ROME","roryrhino",108
"172",2,"ARABIA","corvidcanine",90
"173",3,"GREECE","wizzardmerlin",44
"174",1,"AZTECS","lewis_laswell",125
"175",2,"ROME","Bot",61
"176",3,"CHINA","manuel_toshiba",57
"177",4,"PERSIA","Bot",36
"178",1,"FRANCE","glorious_axolotl_84151",105
"179",2,"CHINA","moppedhupe",67
"180",3,"ARABIA","Bot",53
"181",4,"GREECE","Bot",39
"182",1,"ENGLAND","ayumu9050",121
"183",2,"PERSIA","Bot",78
"184",3,"CHINA","ippo0784",70
"185",4,"ARABIA","ruby5151",67
"186",5,"RUSSIA","Bot",24
"187",6,"GREECE","Bot",5
"188",1,"CHINA","ippo0784",124
"189",2,"RUSSIA","ayumu9050",75
"190",3,"PERSIA","ruby5151",39
"191",4,"EGYPT","Bot",20
"192",1,"RUSSIA","michael8539",120
"193",2,"PERSIA","muxecoid",33
"194",3,"ENGLAND","Unknown Player",22
"195",4,"EGYPT","Bot",14
"196",1,"FRANCE","ruby5151",99
"197",2,"EGYPT","ippo0784",90
"198",3,"ENGLAND","ayumu9050",77
"199",4,"ARABIA","Bot",23
"200",5,"AZTECS","Bot",4
"201",1,"RUSSIA","Unknown Player",116
"202",2,"EGYPT","Bot",31
"203",3,"ROME","Unknown Player",26
"204",4,"FRANCE","muxecoid",19
"205",5,"ENGLAND","michael8539",17
"206",1,"EGYPT","ippo0784",88
"207",2,"PERSIA","ayumu9050",83
"208",3,"CHINA","ruby5151",66
"209",4,"FRANCE","Bot",6
"210",1,"ARABIA","spoonx2",117
"211",2,"GREECE","inkvisiitorriistan",100
"212",3,"PERSIA","Bot",25
"213",4,"ENGLAND","Bot",25
"214",5,"EGYPT","Bot",7
"215",1,"AZTECS","vivi_2525",100
"216",2,"FRANCE","Bot",60
"217",3,"ENGLAND","nanaris",41
"218",1,"ROME","ardurions",109
"219",2,"GREECE","roteisen",47
"220",1,"PERSIA","p3ngie",139
"221",2,"ENGLAND","crashcourse316",109
"222",3,"GREECE","Bot",42
"223",4,"ROME","Bot",25
"224",5,"EGYPT","Bot",18
"225",1,"CHINA","Unknown Player",90
"226",2,"PERSIA","brightthecooldude",33
"227",3,"ROME","blastnboom",16
"228",1,"CHINA","p3ngie",113
"229",2,"ARABIA","Bot",88
"230",3,"RUSSIA","Bot",56
"231",4,"ENGLAND","crashcourse316",27
"232",1,"RUSSIA","p3ngie",107
"233",2,"AZTECS","Bot",61
"234",3,"ROME","Bot",39
"235",4,"PERSIA","crashcourse316",38
"236",5,"ARABIA","Bot",32
"237",1,"RUSSIA","Unknown Player",112
"238",2,"ARABIA","glorious_axolotl_84151",57
"239",3,"CHINA","archld",48
"240",4,"ROME","Bot",7
"241",1,"GREECE","Bot",100
"242",2,"PERSIA","nosnaketime",80
"243",3,"ROME","pug7089",80
"244",4,"EGYPT","Bot",35
"245",5,"CHINA","Bot",14
"246",1,"PERSIA","glorious_axolotl_84151",111
"247",2,"FRANCE","Unknown Player",51
"248",3,"ROME","Bot",50
"249",4,"ARABIA","Bot",43
"250",5,"CHINA","archld",41
"251",1,"ENGLAND","Unknown Player",115
"252",2,"ROME","archld",51
"253",3,"PERSIA","arahaon",35
"254",4,"EGYPT","lewis_laswell",4
"255",1,"ENGLAND","Unknown Player",101
"256",2,"CHINA","Unknown Player",88
